Time,HeartRate
10:04:54,70
10:06:44,70
10:27:52,70
10:34:20,70
10:37:46,70
10:37:52,70
12:55:21,70
12:55:31,66
17:33:27,70
19:49:47,70
19:49:52,70
19:50:37,70
20:08:59,70
20:47:48,70
20:48:03,70
20:48:08,91
20:48:13,98
20:48:18,112
20:48:23,121
20:48:28,129
20:48:33,108
20:48:38,105
20:48:43,109
20:48:48,111
20:48:53,115
20:49:08,115
20:49:13,110
20:49:18,109
20:49:33,109
20:49:44,72
20:49:49,67
20:50:04,67
20:50:19,67
20:50:29,67
20:50:34,66
20:50:49,66
20:51:04,66
20:51:19,67
20:51:24,66
20:51:29,65
20:51:34,64
20:51:39,63
20:51:44,66
20:51:49,66
20:51:59,69
20:52:09,68
20:52:19,69
20:52:24,71
20:52:34,70
20:52:39,71
20:52:44,72
20:52:49,74
20:52:54,72
20:52:59,74
20:53:04,76
20:53:09,76
20:53:16,76
20:53:26,79
20:53:31,80
20:53:36,79
20:53:51,69
20:53:56,67
20:54:01,66
20:54:06,67
20:54:11,68
20:54:16,69
20:54:21,75
20:54:36,75
20:54:51,75
20:55:06,78
20:55:11,78
20:55:26,78
20:55:31,72
20:55:36,72
20:55:51,72
20:56:06,72
20:56:11,72
20:56:21,73
20:56:26,74
20:56:31,75
20:56:46,75
20:56:51,74
20:56:58,74
20:57:13,74
20:57:23,75
20:57:28,76
20:57:33,75
20:57:38,75
20:57:43,75
20:57:48,75
20:58:03,76
20:58:08,75
20:58:23,75
20:58:28,74
20:58:33,73
20:58:43,73
20:58:58,73
20:59:08,73
20:59:13,73
20:59:18,74
20:59:23,74
20:59:38,74
20:59:48,76
20:59:58,73
21:00:03,72
21:00:08,71
21:00:13,72
21:00:28,72
21:00:33,71
21:00:40,71
21:00:45,70
21:00:50,74
21:00:55,78
21:01:00,79
21:01:05,79
21:01:10,80
21:01:25,80
21:01:30,79
21:01:35,74
21:01:45,75
21:01:50,77
21:01:55,78
21:02:00,82
21:02:05,84
21:02:10,84
21:02:25,84
21:02:40,84
21:02:55,84
21:03:10,84
21:03:25,84
21:03:40,84
21:03:55,84
21:04:10,84
21:04:20,83
21:04:25,81
21:04:30,78
21:04:37,75
21:04:42,75
21:04:57,75
21:05:12,75
21:05:22,74
21:05:27,75
21:05:32,74
21:05:37,73
21:05:42,74
21:05:47,73
21:05:57,74
21:06:02,74
21:06:17,74
21:06:22,75
21:06:32,75
21:06:47,75
21:06:52,76
21:07:07,74
21:07:12,74
21:07:27,73
21:07:32,74
21:07:47,74
21:07:52,76
21:07:57,77
21:08:02,76
21:08:07,75
21:08:12,76
21:08:19,76
21:08:29,75
21:08:34,77
21:08:39,77
21:08:44,77
21:08:49,78
21:08:59,77
21:09:04,76
21:09:14,78
21:09:19,81
21:09:24,82
21:09:29,83
21:09:34,85
21:09:49,84
21:09:54,81
21:09:59,77
21:10:04,78
21:10:09,77
21:10:14,76
21:10:19,77
21:10:34,77
21:10:39,76
21:10:54,77
21:11:09,77
21:11:24,79
21:11:34,78
21:11:39,77
21:11:46,77
21:11:56,76
21:12:01,75
21:12:16,81
21:12:21,82
21:12:31,81
21:12:46,81
21:13:01,81
21:13:06,80
21:13:11,79
21:13:26,79
21:13:31,79
21:13:46,79
21:13:51,78
21:14:01,79
21:14:16,79
21:14:26,80
21:14:41,80
21:14:56,79
21:15:06,78
21:15:21,77
21:15:26,76
21:15:31,77
21:15:46,75
21:15:51,74
21:15:56,73
21:16:01,74
21:16:08,73
21:16:13,72
21:16:23,73
21:16:28,75
21:16:43,75
21:16:48,75
21:16:53,75
21:17:08,75
21:17:23,75
21:17:28,75
21:17:38,75
21:17:43,76
21:17:58,75
21:18:13,75
21:18:28,75
21:18:38,76
21:18:43,75
21:18:58,74
21:19:03,73
21:19:08,75
21:19:13,73
21:19:18,73
21:19:33,73
21:19:48,73
21:20:03,73
